STT,MSSV,Họ đệm,Tên,Giới tính,Ngày sinh,CCCD
1,23120001,Nguyễn,Văn Minh,Nam,05/09/2005,123456789012
2,23120002,Trần,Thị Hương,Nữ,18/12/2005,234567890123
3,23120003,Lê,Văn Tùng,Nam,21/03/2005,345678901234
4,23120004,Phạm,Thị Mai,Nữ,10/06/2005,456789012345
5,23120005,Hoàng,Văn Đức,Nam,15/08/2005,567890123456
6,23120006,Đặng,Thị Lan,Nữ,27/11/2005,678901234567
7,23120007,Bùi,Văn Long,Nam,03/02/2005,789012345678
8,23120008,Võ,Thị Hà,Nữ,08/05/2005,890123456789
9,23120009,Nguyễn,Văn Tuấn,Nam,12/07/2005,901234567890
10,23120010,Trần,Thị Ngọc,Nữ,14/10/2005,012345678901
11,23120011,Lê,Văn Hùng,Nam,19/01/2005,123456789012
12,23120012,Phạm,Thị Lan,Nữ,25/02/2005,234567890123
13,23120013,Hoàng,Văn Tùng,Nam,30/04/2005,345678901234
14,23120014,Đặng,Thị Hà,Nữ,05/07/2005,456789012345
15,23120015,Bùi,Văn Long,Nam,11/09/2005,567890123456
16,23120016,Võ,Thị Lan,Nữ,17/12/2005,678901234567
17,23120017,Nguyễn,Văn Tuấn,Nam,23/03/2005,789012345678
18,23120018,Trần,Thị Ngọc,Nữ,28/06/2005,890123456789
19,23120019,Lê,Văn Hùng,Nam,02/08/2005,901234567890
20,23120020,Phạm,Thị Lan,Nữ,04/11/2005,012345678901
21,23120021,Hoàng,Văn Tùng,Nam,09/02/2005,123456789012
22,23120022,Đặng,Thị Hà,Nữ,13/05/2005,234567890123
23,23120023,Bùi,Văn Long,Nam,16/08/2005,345678901234
24,23120024,Võ,Thị Lan,Nữ,20/10/2005,456789012345
25,23120025,Nguyễn,Văn Tuấn,Nam,26/01/2005,567890123456
26,23120026,Trần,Thị Ngọc,Nữ,01/04/2005,678901234567
27,23120027,Lê,Văn Hùng,Nam,07/07/2005,789012345678
28,23120028,Phạm,Thị Lan,Nữ,09/09/2005,890123456789
29,23120029,Hoàng,Văn Tùng,Nam,14/12/2005,901234567890
30,23120030,Đặng,Thị Hà,Nữ,20/03/2005,012345678901
31,23120031,Bùi,Văn Long,Nam,24/05/2005,123456789012
32,23120032,Võ,Thị Lan,Nữ,29/08/2005,234567890123
33,23120033,Nguyễn,Văn Tuấn,Nam,01/11/2005,345678901234
34,23120034,Trần,Thị Ngọc,Nữ,06/02/2005,456789012345
35,23120035,Lê,Văn Hùng,Nam,10/04/2005,567890123456
36,23120036,Phạm,Thị Lan,Nữ,16/07/2005,678901234567
37,23120037,Hoàng,Văn Tùng,Nam,19/09/2005,789012345678
38,23120038,Đặng,Thị Hà,Nữ,25/12/2005,890123456789
39,23120039,Bùi,Văn Long,Nam,02/03/2005,901234567890
40,23120040,Võ,Thị Lan,Nữ,08/06/2005,012345678901
41,23120041,Nguyễn,Văn Tuấn,Nam,12/08/2005,123456789012
42,23120042,Trần,Thị Ngọc,Nữ,16/11/2005,234567890123
43,23120043,Lê,Văn Hùng,Nam,21/02/2005,345678901234
44,23120044,Phạm,Thị Lan,Nữ,27/05/2005,456789012345
45,23120045,Hoàng,Văn Tùng,Nam,30/07/2005,567890123456
46,23120046,Đặng,Thị Hà,Nữ,04/10/2005,678901234567
47,23120047,Bùi,Văn Long,Nam,09/01/2005,789012345678
48,23120048,Võ,Thị Lan,Nữ,15/04/2005,890123456789
49,23120049,Nguyễn,Văn Tuấn,Nam,18/06/2005,901234567890
50,23120050,Trần,Thị Ngọc,Nữ,23/09/2005,012345678901
