STT,MSSV,Họ đệm,Tên,Giới tính,Ngày sinh,CCCD
1,23120001,Nguyễn,Văn Minh,Nam,05/09/2005,123456789012
2,23120002,Trần,Thị Hương,Nữ,18/12/2005,234567890123
3,23120003,Lê,Văn Tùng,Nam,21/03/2005,345678901234
4,23120004,Phạm,Thị Mai,Nữ,10/06/2005,456789012345
5,23120005,Hoàng,Văn Đức,Nam,15/08/2005,567890123456
6,23120006,Đặng,Thị Lan,Nữ,27/11/2005,678901234567
7,23120007,Bùi,Văn Long,Nam,03/02/2005,789012345678
8,23120008,Võ,Thị Hà,Nữ,08/05/2005,890123456789
9,23120009,Nguyễn,Văn Tuấn,Nam,12/07/2005,901234567890
10,23120010,Trần,Thị Ngọc,Nữ,14/10/2005,012345678901
11,23120011,Lê,Văn Hùng,Nam,19/01/2005,123456789012
12,23120012,Phạm,Thị Lan,Nữ,25/02/2005,234567890123
13,23120013,Hoàng,Văn Tùng,Nam,30/04/2005,345678901234
14,23120014,Đặng,Thị Hà,Nữ,05/07/2005,456789012345
15,23120015,Bùi,Văn Long,Nam,11/09/2005,567890123456
16,23120016,Võ,Thị Lan,Nữ,17/12/2005,678901234567
17,23120017,Nguyễn,Văn Tuấn,Nam,23/03/2005,789012345678
18,23120018,Trần,Thị Ngọc,Nữ,28/06/2005,890123456789
19,23120019,Lê,Văn Hùng,Nam,02/08/2005,901234567890
20,23120020,Phạm,Thị Lan,Nữ,04/11/2005,012345678901
21,23120021,Hoàng,Văn Tùng,Nam,09/02/2005,123456789012
22,23120022,Đặng,Thị Hà,Nữ,13/05/2005,234567890123
23,23120023,Bùi,Văn Long,Nam,16/08/2005,345678901234
24,23120024,Võ,Thị Lan,Nữ,20/10/2005,456789012345
25,23120025,Nguyễn,Văn Tuấn,Nam,26/01/2005,567890123456
26,23120076,Trần,Quốc Bảo,Nam,20/06/2005,680267913468
27,23120077,Lê,Minh Châu,Nữ,24/09/2005,791378024579
28,23120078,Phạm,Thuý Linh,Nữ,28/12/2005,802489135680
29,23120079,Hoàng,Văn Nghĩa,Nam,02/03/2005,913590246791
30,23120080,Đặng,Ngọc Thủy,Nữ,06/06/2005,024601357902
31,23120081,Bùi,Anh Tuấn,Nam,10/09/2005,135712468013
32,23120082,Võ,Thuỳ Minh,Nữ,14/12/2005,246823579024
33,23120083,Nguyễn,Thanh Tùng,Nam,18/02/2005,357934680135
34,23120084,Trần,Quốc Đạt,Nam,22/05/2005,468045791246
35,23120085,Lê,Minh Hùng,Nam,26/08/2005,579156802357
36,23120086,Phạm,Thu Hà,Nữ,30/11/2005,680267913468
37,23120087,Hoàng,Văn Phong,Nam,04/03/2005,791378024579
38,23120088,Đặng,Ngọc Lan,Nữ,08/06/2005,802489135680
39,23120089,Bùi,Anh Quốc,Nam,12/09/2005,913590246791
40,23120090,Võ,Thuỳ Vy,Nữ,16/12/2005,024601357902
41,23120091,Nguyễn,Thanh Hoa,Nữ,20/02/2005,135712468013
42,23120092,Trần,Quốc Anh,Nam,24/05/2005,246823579024
43,23120093,Lê,Minh Trung,Nam,28/08/2005,357934680135
44,23120094,Phạm,Thuỳ Dung,Nữ,02/11/2005,468045791246
45,23120095,Hoàng,Văn Nam,Nam,06/03/2005,579156802357
46,23120096,Đặng,Ngọc Ngân,Nữ,10/06/2005,680267913468
47,23120097,Bùi,Anh Sơn,Nam,14/09/2005,791378024579
48,23120098,Võ,Thuỳ Trang,Nữ,18/12/2005,802489135680
49,23120099,Nguyễn,Thanh Hưng,Nam,22/02/2005,913590246791
50,23120100,Trần,Quốc Khánh,Nam,26/05/2005,024601357902
