STT,MSSV,Họ đệm,Tên,Giới tính,Ngày sinh,CCCD
1,23120101,Nguyễn,Văn An,Nam,12/01/2005,123456789012
2,23120102,Trần,Thị Bình,Nữ,13/01/2005,234567890123
3,23120103,Lê,Văn Chiến,Nam,14/01/2005,345678901234
4,23120104,Phạm,Thị Dung,Nữ,15/01/2005,456789012345
5,23120105,Hoàng,Văn Đạt,Nam,16/01/2005,567890123456
6,23120106,Đặng,Thị Hạnh,Nữ,17/01/2005,678901234567
7,23120107,Bùi,Văn Hòa,Nam,18/01/2005,789012345678
8,23120108,Võ,Thị Lan,Nữ,19/01/2005,890123456789
9,23120109,Nguyễn,Văn Khánh,Nam,20/01/2005,901234567890
10,23120110,Trần,Thị Loan,Nữ,21/01/2005,012345678901
11,23120111,Lê,Văn Long,Nam,22/01/2005,123456789012
12,23120112,Phạm,Thị Mai,Nữ,23/01/2005,234567890123
13,23120113,Hoàng,Văn Nam,Nam,24/01/2005,345678901234
14,23120114,Đặng,Thị Ngọc,Nữ,25/01/2005,456789012345
15,23120115,Bùi,Văn Phú,Nam,26/01/2005,567890123456
16,23120116,Võ,Thị Quỳnh,Nữ,27/01/2005,678901234567
17,23120117,Nguyễn,Văn Sơn,Nam,28/01/2005,789012345678
18,23120118,Trần,Thị Thảo,Nữ,29/01/2005,890123456789
19,23120119,Lê,Văn Thắng,Nam,30/01/2005,901234567890
20,23120120,Phạm,Thị Thanh,Nữ,31/01/2005,012345678901
21,23120121,Hoàng,Văn Tùng,Nam,01/02/2005,123456789012
22,23120122,Đặng,Thị Xuân,Nữ,02/02/2005,234567890123
23,23120123,Bùi,Văn Toàn,Nam,03/02/2005,345678901234
24,23120124,Võ,Thị Vân,Nữ,04/02/2005,456789012345
25,23120125,Nguyễn,Văn Bảo,Nam,05/02/2005,567890123456
26,23120126,Trần,Thị Hương,Nữ,06/02/2005,678901234567
27,23120127,Lê,Văn Cường,Nam,07/02/2005,789012345678
28,23120128,Phạm,Thị Hải,Nữ,08/02/2005,890123456789
29,23120129,Hoàng,Văn Hiếu,Nam,09/02/2005,901234567890
30,23120130,Đặng,Thị Hồng,Nữ,10/02/2005,012345678901
31,23120131,Bùi,Văn Huy,Nam,11/02/2005,123456789012
32,23120132,Võ,Thị Huệ,Nữ,12/02/2005,234567890123
33,23120133,Nguyễn,Văn Khoa,Nam,13/02/2005,345678901234
34,23120134,Trần,Thị Lý,Nữ,14/02/2005,456789012345
35,23120135,Lê,Văn Lộc,Nam,15/02/2005,567890123456
36,23120136,Phạm,Thị Nga,Nữ,16/02/2005,678901234567
37,23120137,Hoàng,Văn Nghĩa,Nam,17/02/2005,789012345678
38,23120138,Đặng,Thị Nguyệt,Nữ,18/02/2005,890123456789
39,23120139,Bùi,Văn Nhật,Nam,19/02/2005,901234567890
40,23120140,Võ,Thị Oanh,Nữ,20/02/2005,012345678901
41,23120141,Nguyễn,Văn Quang,Nam,21/02/2005,123456789012
42,23120142,Trần,Thị Thúy,Nữ,22/02/2005,234567890123
43,23120143,Lê,Văn Quý,Nam,23/02/2005,345678901234
44,23120144,Phạm,Thị Quyên,Nữ,24/02/2005,456789012345
45,23120145,Hoàng,Văn Sáng,Nam,25/02/2005,567890123456
46,23120146,Đặng,Thị Sương,Nữ,26/02/2005,678901234567
47,23120147,Bùi,Văn Thiện,Nam,27/02/2005,789012345678
48,23120148,Võ,Thị Thu,Nữ,28/02/2005,890123456789
49,23120149,Nguyễn,Văn Thịnh,Nam,01/03/2005,901234567890
50,23120150,Trần,Thị Trang,Nữ,02/03/2005,012345678901
