No,StudentID,Student Full Name,Other Mark,Midterm Mark,Final Mark,Total Mark
1,23120051,Nguyễn Quang Hùng,4,3.6,0.3,3
2,23120052,Trần Ngọc Anh,5.1,0.3,3.3,4.5
3,23120053,Lê Minh Phương,1,6.5,9,9.4
4,23120054,Phạm Thu Hà,8.9,2.7,8.2,8.2
5,23120055,Hoàng Văn Tuấn,8.7,2.5,8.9,3.9
6,23120056,Đặng Ngọc Trâm,3.4,3.8,5.4,6.7
7,23120057,Bùi Anh Khoa,4.7,8.8,0.5,5.5
8,23120058,Võ Thuỳ Linh,7.9,4.5,1,0.4
9,23120059,Nguyễn Thanh Hà,5.8,9.8,9.4,8.6
10,23120060,Trần Quốc Hưng,0.7,9.1,5.2,9.3
11,23120061,Lê Minh Đức,7,2.4,5.5,9.7
12,23120062,Phạm Thu Thảo,3.1,2.6,3.2,3.7
13,23120063,Hoàng Văn Hùng,0.7,1.1,8,2.4
14,23120064,Đặng Ngọc Mai,3.5,4.9,3,1
15,23120065,Bùi Anh Tuấn,1.6,1.6,3.1,1.9
16,23120066,Võ Thuỳ Dương,5.6,2.7,1,4.7
17,23120067,Nguyễn Thanh Tâm,8.8,9,4.4,8.6
18,23120068,Trần Quốc An,8.4,9.4,4.6,7.6
19,23120069,Lê Minh Hải,1.2,5.9,3.5,8.4
20,23120070,Phạm Thuý Vy,6.1,7.1,2.4,0.2
21,23120071,Hoàng Văn Phúc,3,4.9,7.9,3.4
22,23120072,Đặng Ngọc Trân,0.1,7.2,9.5,1.5
23,23120073,Bùi Anh Huy,8.2,6.3,8.9,5.9
24,23120074,Võ Thuỳ Nhi,6.3,6.2,6.1,4.2
25,23120075,Nguyễn Thanh Bình,9.1,1,7.9,8.2
26,23120126,Trần Thị Hương,2.3,6.2,7.8,1
27,23120127,Lê Văn Cường,9.9,1,4.7,4.7
28,23120128,Phạm Thị Hải,6,1.2,9.1,2
29,23120129,Hoàng Văn Hiếu,3.7,7.7,2.7,2.9
30,23120130,Đặng Thị Hồng,0.6,6.4,1.1,6.2
31,23120131,Bùi Văn Huy,9.7,2.4,4.8,4
32,23120132,Võ Thị Huệ,5,6.6,6.6,6.3
33,23120133,Nguyễn Văn Khoa,0.2,7.1,7.1,1.6
34,23120134,Trần Thị Lý,5.6,6.5,5.2,0.7
35,23120135,Lê Văn Lộc,3.7,9.3,1.3,6.5
36,23120136,Phạm Thị Nga,3.7,2.5,4.6,7.4
37,23120137,Hoàng Văn Nghĩa,2.2,8.8,8.6,8.7
38,23120138,Đặng Thị Nguyệt,0.8,6.5,1.8,4.9
39,23120139,Bùi Văn Nhật,3.5,7.4,9.9,8
40,23120140,Võ Thị Oanh,6.9,8.4,6.6,5.5
41,23120141,Nguyễn Văn Quang,0.9,6,0.7,1.7
42,23120142,Trần Thị Thúy,9.4,5.9,3.7,4.9
43,23120143,Lê Văn Quý,6.4,9.8,6.5,8.3
44,23120144,Phạm Thị Quyên,0.8,2.1,4.5,3.6
45,23120145,Hoàng Văn Sáng,2.5,6.2,1.9,1.1
46,23120146,Đặng Thị Sương,1.2,3.3,0.4,2.4
47,23120147,Bùi Văn Thiện,5.8,8.9,4.6,5.6
48,23120148,Võ Thị Thu,6.7,2.6,5.4,2.4
49,23120149,Nguyễn Văn Thịnh,5.9,4.4,2.8,1.7
50,23120150,Trần Thị Trang,3.8,6.5,8.3,1.5
