STT,MSSV,Họ đệm,Tên,Giới tính,Ngày sinh,CCCD
1,23120001,Nguyễn,Văn Minh,Nam,05/09/2005,123456789012
2,23120002,Trần,Thị Hương,Nữ,18/12/2005,234567890123
3,23120003,Lê,Văn Tùng,Nam,21/03/2005,345678901234
4,23120004,Phạm,Thị Mai,Nữ,10/06/2005,456789012345
5,23120005,Hoàng,Văn Đức,Nam,15/08/2005,567890123456
6,23120006,Đặng,Thị Lan,Nữ,27/11/2005,678901234567
7,23120007,Bùi,Văn Long,Nam,03/02/2005,789012345678
8,23120008,Võ,Thị Hà,Nữ,08/05/2005,890123456789
9,23120009,Nguyễn,Văn Tuấn,Nam,12/07/2005,901234567890
10,23120010,Trần,Thị Ngọc,Nữ,14/10/2005,012345678901
11,23120061,Lê,Minh Đức,Nam,18/09/2005,135712468013
12,23120062,Phạm,Thu Thảo,Nữ,22/12/2005,246823579024
13,23120063,Hoàng,Văn Hùng,Nam,26/02/2005,357934680135
14,23120064,Đặng,Ngọc Mai,Nữ,01/05/2005,468045791246
15,23120065,Bùi,Anh Tuấn,Nam,05/08/2005,579156802357
16,23120066,Võ,Thuỳ Dương,Nữ,09/11/2005,680267913468
17,23120067,Nguyễn,Thanh Tâm,Nữ,13/03/2005,791378024579
18,23120068,Trần,Quốc An,Nam,17/06/2005,802489135680
19,23120069,Lê,Minh Hải,Nam,21/09/2005,913590246791
20,23120070,Phạm,Thuý Vy,Nữ,25/12/2005,024601357902
21,23120121,Hoàng,Văn Tùng,Nam,01/02/2005,123456789012
22,23120122,Đặng,Thị Xuân,Nữ,02/02/2005,234567890123
23,23120123,Bùi,Văn Toàn,Nam,03/02/2005,345678901234
24,23120124,Võ,Thị Vân,Nữ,04/02/2005,456789012345
25,23120125,Nguyễn,Văn Bảo,Nam,05/02/2005,567890123456
26,23120126,Trần,Thị Hương,Nữ,06/02/2005,678901234567
27,23120127,Lê,Văn Cường,Nam,07/02/2005,789012345678
28,23120128,Phạm,Thị Hải,Nữ,08/02/2005,890123456789
29,23120129,Hoàng,Văn Hiếu,Nam,09/02/2005,901234567890
30,23120130,Đặng,Thị Hồng,Nữ,10/02/2005,012345678901
