No,StudentID,Student Full Name,Other Mark,Midterm Mark,Final Mark,Total Mark
1,23120001,Nguyễn Văn Minh,7.2,4.8,4.7,3.7
2,23120002,Trần Thị Hương,9.2,9.9,7.2,8.5
3,23120003,Lê Văn Tùng,8.6,9.3,9.2,9.0
4,23120004,Phạm Thị Mai,0.8,9.9,6.3,5.5
5,23120005,Hoàng Văn Đức,0.2,0.6,4.6,1.3
6,23120006,Đặng Thị Lan,4.4,2.0,1.8,9.7
7,23120007,Bùi Văn Long,7.8,8.5,4.3,4.0
8,23120008,Võ Thị Hà,2.1,5.8,7.0,2.4
9,23120009,Nguyễn Văn Tuấn,4.8,7.1,9.1,5.5
10,23120010,Trần Thị Ngọc,5.4,8.2,5.0,6.4
11,23120061,Lê Minh Đức,9.5,1.2,9.4,0.1
12,23120062,Phạm Thu Thảo,9.2,0.7,8.5,5.6
13,23120063,Hoàng Văn Hùng,7.5,5.4,1.5,7.8
14,23120064,Đặng Ngọc Mai,9.2,2.7,7.6,5.3
15,23120065,Bùi Anh Tuấn,1.5,3.0,2.3,1.0
16,23120066,Võ Thuỳ Dương,0.7,4.2,5.4,2.5
17,23120067,Nguyễn Thanh Tâm,7.4,6.7,1.4,6.7
18,23120068,Trần Quốc An,3.5,4.9,8.5,3.9
19,23120069,Lê Minh Hải,6.2,5.4,0.5,3.8
20,23120070,Phạm Thuý Vy,5.5,7.4,3.9,2.1
21,23120121,Hoàng Văn Tùng,4.4,6.5,8.0,5.8
22,23120122,Đặng Thị Xuân,0.9,4.1,7.6,7.1
23,23120123,Bùi Văn Toàn,2.8,4.9,3.6,4.7
24,23120124,Võ Thị Vân,9.2,2.7,4.8,5.6
25,23120125,Nguyễn Văn Bảo,0.9,4.2,5.2,4.1
26,23120126,Trần Thị Hương,6.1,1.0,1.0,5.5
27,23120127,Lê Văn Cường,0.6,2.2,3.8,5.9
28,23120128,Phạm Thị Hải,0.0,4.5,6.1,8.1
29,23120129,Hoàng Văn Hiếu,2.5,9.9,6.0,6.9
30,23120130,Đặng Thị Hồng,3.1,9.2,1.4,9.1
