No,Student ID,Last Name,First Name,Gender,Date of Birth,Social ID,Academic Year
1,21000357,Phung Quang,Huy,Male,9/12/2003,6.2742E+12,2021
2,21000651,Vo Lam,Binh,Male,4/4/2003,7.38445E+12,2021
3,21000823,Truong Xuan,Bao,Female,19/10/2003,4.30185E+12,2021
4,21000800,Mai Chien,Truong,Male,25/03/2003,1.8617E+12,2021
5,21000598,Giang Minh,Xuan,Male,10/8/2003,6.04553E+12,2021
6,21000448,Le Cong,Gia,Male,13/11/2003,8.59053E+12,2021
7,21000546,Dinh Khai,Thien,Male,3/12/2003,9.39334E+12,2021
8,21000791,Chau Truong,Hieu,Male,28/09/2003,7.11039E+12,2021
9,21000695,Do Vuong,Tuan,Male,4/12/2003,4.83447E+12,2021
10,21000436,Tao Chien,Minh,Male,1/3/2003,6.3511E+12,2021
11,21000432,Dang Thanh,Ngoc,Female,12/4/2003,1.80386E+12,2021
12,21000559,Chau Thi,Kieu,Female,28/12/2003,8.51021E+12,2021
13,21000737,Dieu Quoc,Cong,Male,24/04/2003,1.89405E+12,2021
14,21000724,Ton Lien,Ngoc,Female,13/06/2003,9546300841,2021
15,21000747,Bui Thanh,Ngan,Female,26/03/2003,1.65809E+12,2021
16,21000721,Lam Van,Trung,Male,11/12/2003,3.15758E+12,2021
17,21000353,Ton Tu,Bao,Male,16/07/2003,2.63976E+12,2021
18,21000750,Dang Ngoc,Yen,Female,1/2/2003,2.5164E+12,2021
19,21000469,Ho Van,Phat,Male,19/02/2003,3.73734E+12,2021
20,21000495,Le Hiep,Tan,Male,2/10/2003,4.05398E+12,2021
21,21000726,Trinh Thanh,Dinh,Male,24/01/2003,2.6652E+12,2021
22,21000422,Pham Tan,Long,Male,9/6/2003,6.6148E+12,2021
23,21000653,Truong Chien,Luat,Male,5/9/2003,9.6747E+12,2021
24,21000719,Tao Khoa,Cong,Male,2/8/2003,9.48243E+12,2021
25,21000527,Ma Hoang,Toan,Male,21/02/2003,8.37057E+12,2021
26,21000390,Dinh Mai,Lien,Female,17/03/2003,1.21645E+12,2021
27,21000393,Mai Xuan,Tuan,Male,28/03/2003,4.51297E+12,2021
28,21000404,Tu Hoang,Tan,Male,1/9/2003,1.24099E+12,2021
29,21000601,Hoang Khai,Long,Male,1/6/2003,9.98823E+12,2021
30,21000452,Le Thi,Vy,Female,22/11/2003,8.505E+12,2021
31,21000693,Ton Linh,Dung,Female,7/3/2003,3.474E+11,2021
32,21000661,Giang Quang,Trong,Male,22/10/2003,4.21697E+12,2021
33,21000447,Thai Mai,Khanh,Female,4/9/2003,5.40706E+12,2021
34,21000590,Le Manh,Son,Male,26/10/2003,6.971E+12,2021
35,21000754,Luu Hoang,Trong,Male,22/05/2003,1.71794E+12,2021
36,21000711,Hua Tam,Khanh,Female,12/3/2003,9.6456E+12,2021
37,21000366,Pham Hung,Hoang,Male,3/3/2003,2.01209E+12,2021
38,21000790,Dieu My,Ha,Female,6/10/2003,9.47634E+12,2021
39,21000551,Quach Thanh,Duc,Male,4/4/2003,9.17907E+12,2021
40,21000743,Hoang Huu,Bao,Male,22/06/2003,5.70728E+12,2021
41,21000611,La My,Hoa,Female,13/10/2003,5.6048E+12,2021
42,21000612,Tran Manh,Quang,Male,25/12/2003,7.51485E+12,2021
43,21000594,Cao Xuan,Lien,Female,5/12/2003,8.65074E+12,2021
44,21000803,Pham Lam,Son,Male,27/12/2003,2.52495E+12,2021
45,21000463,Tu Luan,Toan,Male,2/8/2003,4.25364E+12,2021
46,21000592,Le Xuan,Khanh,Male,12/11/2003,6.46534E+11,2021
47,21000520,Vinh Vy,Anh,Female,27/11/2003,5.64173E+12,2021
48,21000686,Duong Bao,San,Female,21/02/2003,7.31438E+12,2021
49,21000484,Tri Thuy,Lien,Female,18/12/2003,3.28274E+12,2021
50,21000641,Dieu Thi,Mai,Female,11/7/2003,3.40569E+12,2021
