No,Student ID,Last Name,First Name,Gender,Date of Birth,Social ID,Academic Year
1,21000797,Vu Dieu,Chi,Female,23/08/2003,8.73842E+12,2021
2,21000672,Phung Chau,Bao,Female,18/05/2003,2.65232E+12,2021
3,21000698,Lam Hiep,Toan,Male,17/07/2003,4.70647E+12,2021
4,21000428,Chau Lam,Kha,Male,17/02/2003,8.81723E+12,2021
5,21000678,Chu Huong,Quynh,Female,1/2/2003,2.27197E+12,2021
6,21000580,Duong Tam,Lien,Female,18/01/2003,8.59304E+12,2021
7,21000811,Bui Xuan,Cuong,Male,27/06/2003,9.93802E+12,2021
8,21000787,Lam Quyen,Trinh,Female,8/1/2003,5.15464E+12,2021
9,21000718,Ton Kim,Huong,Female,13/07/2003,3.10788E+12,2021
10,21000742,Truong My,Bao,Female,20/05/2003,2.82086E+12,2021
11,21000781,Bach Chau,Tuyet,Female,15/10/2003,2.0166E+12,2021
12,21000379,Lam Phu,Tien,Male,22/11/2003,3.92007E+12,2021
13,21000709,Chau Nhi,Lien,Female,1/6/2003,8.13784E+12,2021
14,21000739,Trinh Bao,Lien,Female,18/03/2003,4.41138E+12,2021
15,21000814,Vinh Khoa,Trung,Male,9/1/2003,9.10107E+12,2021
16,21000419,Ton Thien,Cong,Male,2/10/2003,8.85822E+12,2021
17,21000483,Truong Cong,Dinh,Male,12/6/2003,2.09709E+12,2021
18,21000780,Thai Van,Dinh,Male,13/04/2003,8.78777E+12,2021
19,21000657,Bach Xuan,Toan,Male,1/1/2003,3.27072E+12,2021
20,21000683,Lai Khoa,Toan,Male,22/12/2003,4.91535E+12,2021
21,21000361,Ly Quoc,Long,Male,28/04/2003,2.28032E+12,2021
22,21000489,Dieu Duy,Binh,Male,16/08/2003,3.64882E+12,2021
23,21000544,Phung Ngoc,Quyen,Female,17/08/2003,1.4523E+12,2021
24,21000411,Giang Trang,Hang,Female,12/7/2003,9.54296E+12,2021
25,21000510,Vo Xuan,Hien,Female,18/02/2003,3.8517E+12,2021
26,21000539,Dang Huu,Vu,Male,6/9/2003,6.19908E+11,2021
27,21000441,Do Bich,Mong,Female,2/9/2003,6.13914E+12,2021
28,21000500,Lai Khai,Huy,Male,24/12/2003,7.67124E+12,2021
29,21000363,Vu Hung,Tan,Male,20/06/2003,7.8781E+12,2021
30,21000677,Cao Khai,Hung,Male,11/9/2003,7.02725E+12,2021
31,21000664,Bui Nhat,Viet,Male,6/1/2003,9.65718E+12,2021
32,21000808,Tao Truong,Dinh,Male,19/07/2003,5.76421E+12,2021
33,21000466,Kieu Truong,Phat,Male,28/02/2003,9.34854E+12,2021
34,21000597,Ha Chau,Tuyet,Female,20/12/2003,8.44386E+11,2021
35,21000354,Kieu Quoc,Bao,Male,26/10/2003,2.1032E+12,2021
36,21000600,Chu Trang,Dung,Female,24/08/2003,6.78813E+12,2021
37,21000639,Dang Phuong,Bich,Female,18/02/2003,2.89815E+12,2021
38,21000420,Truong Phu,Nghia,Male,23/12/2003,7.03248E+12,2021
39,21000573,Dang Duy,Xuan,Male,8/6/2003,9.4906E+12,2021
40,21000717,Chu Ngan,Mai,Female,8/10/2003,9.30448E+12,2021
41,21000491,Do Tam,Chi,Female,1/6/2003,6.23793E+12,2021
42,21000513,Kieu Hoang,Truong,Male,9/11/2003,1.51439E+11,2021
43,21000394,Kieu Thien,Phuc,Male,28/08/2003,7.02339E+12,2021
44,21000637,Tao Minh,Vuong,Male,23/06/2003,4.05445E+12,2021
45,21000472,Bui Nhi,Quyen,Female,2/7/2003,1.27623E+12,2021
46,21000583,Luu Lien,Huong,Female,19/06/2003,2.7385E+12,2021
47,21000767,Lam Mai,Nga,Female,6/3/2003,6.07981E+12,2021
48,21000471,Vinh Thi,Trinh,Female,2/12/2003,3.69662E+12,2021
49,21000645,Cao Ngan,Ha,Female,24/06/2003,8.46726E+12,2021
50,21000831,Kieu Van,Huy,Male,22/05/2003,1.73463E+12,2021
