No,Student ID,Last Name,First Name,Gender,Date of Birth,Social ID,Academic Year
1,21000443,Doan Lam,Phu,Male,22/10/2003,8.46215E+11,2021
2,21000755,Chau Thuy,Hong,Female,1/9/2003,2.45963E+12,2021
3,21000424,Dieu Mai,Hong,Female,1/10/2003,4.57753E+11,2021
4,21000470,Hoang Hoa,Hang,Female,4/7/2003,3.33002E+12,2021
5,21000776,Ton Phuong,Dung,Female,14/06/2003,6.54861E+12,2021
6,21000773,Do Vy,Bao,Female,9/4/2003,6.92612E+12,2021
7,21000746,La Tam,Lam,Male,14/06/2003,7.63841E+12,2021
8,21000465,Vo Trang,Huong,Female,8/6/2003,3.9938E+12,2021
9,21000358,Phung Truong,Manh,Male,28/11/2003,1.97807E+12,2021
10,21000569,Le Thinh,Dai,Male,2/8/2003,1.7997E+12,2021
11,21000620,Nghiem Lan,Bich,Female,23/07/2003,6.74047E+12,2021
12,21000449,Ha Huu,Gia,Male,13/08/2003,5.1134E+12,2021
13,21000775,Dang Khoa,Trung,Male,14/12/2003,5.94654E+12,2021
14,21000534,Pham Trang,Thao,Female,1/8/2003,9.65472E+12,2021
15,21000608,Truong Chien,Quang,Male,22/10/2003,2.97609E+12,2021
16,21000545,Ma Mai,Ha,Female,20/05/2003,9.65965E+12,2021
17,21000649,Ma Lam,Trong,Male,26/11/2003,2.85235E+12,2021
18,21000528,Lai Lam,Dinh,Male,6/7/2003,2.68234E+12,2021
19,21000392,Hoang Huong,Linh,Female,15/09/2003,2.55706E+12,2021
20,21000531,Lai Tan,Khanh,Male,14/03/2003,9.6546E+12,2021
21,21000759,Vinh Nhi,Mong,Female,19/03/2003,9.81606E+12,2021
22,21000486,Ton Xuan,Trang,Female,15/12/2003,4.5546E+12,2021
23,21000347,Tran Cong,Hieu,Male,24/10/2003,5.19021E+12,2021
24,21000627,Hua Luan,Anh,Male,11/2/2003,3.88408E+11,2021
25,21000370,Vu Truong,Duy,Male,5/2/2003,7.66408E+12,2021
26,21000772,Pham Tam,Vuong,Male,7/12/2003,9.34752E+12,2021
27,21000738,Nghiem Lan,Phuong,Female,14/02/2003,2.07828E+12,2021
28,21000801,Chu Thi,Thuong,Female,23/11/2003,8.86604E+12,2021
29,21000679,Thai Viet,Truong,Male,19/09/2003,8.06109E+12,2021
30,21000774,Nghiem Giang,Thuong,Female,22/03/2003,2.31431E+12,2021
31,21000833,Linh Linh,Mong,Female,7/10/2003,1.92998E+12,2021
32,21000802,Chau Khai,Vinh,Male,5/4/2003,3.03685E+12,2021
33,21000710,Thai Bich,Tuyet,Female,17/02/2003,3.66138E+12,2021
34,21000786,Luu Cong,Cuong,Male,7/3/2003,3.09449E+12,2021
35,21000459,Phan Trang,Ha,Female,9/11/2003,7.77894E+12,2021
36,21000492,Tran Nhat,Chien,Male,25/09/2003,1.58344E+11,2021
37,21000596,Do Quoc,Kien,Male,12/4/2003,8.01451E+12,2021
38,21000388,Tran Giang,Hoa,Female,5/9/2003,7.84337E+12,2021
39,21000557,Phung Giang,Bich,Female,7/4/2003,6.62414E+12,2021
40,21000663,Ton Vy,Thu,Female,3/3/2003,9.48965E+12,2021
41,21000475,Linh Khai,Nam,Male,20/08/2003,8.62311E+12,2021
42,21000400,Tao Tam,Vy,Female,7/8/2003,4.7623E+12,2021
43,21000414,Dinh Quyen,Chi,Female,13/10/2003,9.8187E+12,2021
44,21000804,Doan Tam,Tan,Male,15/06/2003,8.61628E+12,2021
45,21000654,Ma Phu,Tien,Male,7/9/2003,6.11226E+12,2021
46,21000644,Vu Ngoc,Khanh,Female,9/6/2003,6.00018E+12,2021
47,21000817,Ho Van,Tuan,Male,7/12/2003,5.82024E+11,2021
48,21000530,Luu Lan,Bich,Female,8/5/2003,3.20517E+12,2021
49,21000346,Ton Vuong,Vuong,Male,19/11/2003,2.24039E+12,2021
50,21000779,Truong Quoc,Dinh,Male,17/09/2003,1.8504E+12,2021
