No,Student ID,Last Name,First Name,Gender,Date of Birth,Social ID,Academic Year
1,22000539,Ton Quoc,Phat,Male,21/01/2004,2.26777E+12,2022
2,22000617,Tri Chien,Quang,Male,28/05/2004,5.2299E+12,2022
3,22000368,Dang Minh,Hoang,Male,1/1/2004,5.92848E+12,2022
4,22000678,Thai Hoa,Hong,Female,21/02/2004,7.82907E+12,2022
5,22000533,Dieu Lan,Linh,Female,27/02/2004,1.78865E+12,2022
6,22000701,La Khai,Long,Male,17/04/2004,4.19272E+12,2022
7,22000770,Vo Dieu,Hien,Female,8/11/2004,6.27314E+12,2022
8,22000656,Tri Khai,Nghia,Male,23/02/2004,9.13751E+12,2022
9,22000705,Phan Thanh,Quy,Female,20/09/2004,2.58344E+12,2022
10,22000682,Dang Thi,Mong,Female,4/1/2004,6.00346E+12,2022
11,22000367,Mai Minh,Quy,Male,8/11/2004,7.19652E+12,2022
12,22000436,Bach Mai,Diep,Female,3/1/2004,3.46142E+12,2022
13,22000681,Linh Thu,Tam,Female,6/2/2004,2.05353E+12,2022
14,22000472,Dang Trang,Hoa,Female,26/02/2004,5.93005E+12,2022
15,22000708,Nghiem Huong,Vy,Female,17/02/2004,3.67784E+12,2022
16,22000654,Nghiem Ngoc,Mong,Female,19/06/2004,1.92443E+12,2022
17,22000380,Ton Cong,Thanh,Male,23/08/2004,2.2858E+12,2022
18,22000635,Bach Trang,Hong,Female,25/03/2004,1.71057E+12,2022
19,22000741,Tran Tuyen,Kieu,Female,18/04/2004,7.34306E+11,2022
20,22000508,Kim Nhi,Tuyen,Female,22/02/2004,6.69974E+12,2022
21,22000377,Lam Hoa,Quyen,Female,19/03/2004,4.38168E+12,2022
22,22000450,Pham Hiep,Truong,Male,18/06/2004,6.88916E+12,2022
23,22000537,Hua Xuan,Chi,Female,19/04/2004,9.1863E+11,2022
24,22000599,Kim My,Khanh,Female,18/08/2004,2.16093E+12,2022
25,22000756,Doan Vuong,Son,Male,14/02/2004,4.05395E+12,2022
26,22000560,Ho Kieu,Lien,Female,3/12/2004,6.53615E+12,2022
27,22000691,Kim Thanh,Khanh,Male,13/06/2004,4.15927E+12,2022
28,22000566,Ngo Thu,Ha,Female,18/12/2004,2.33302E+12,2022
29,22000556,Nguyen Tam,Bao,Female,6/12/2004,8.82992E+12,2022
30,22000823,Mai Huu,Kien,Male,26/01/2004,4.36862E+12,2022
31,22000632,Ha Tien,Hung,Male,16/07/2004,6.22689E+12,2022
32,22000727,Do Khai,Phu,Male,28/03/2004,7.63226E+11,2022
33,22000794,Luu Quang,Phu,Male,7/12/2004,8.50544E+12,2022
34,22000372,Trinh Thanh,Toan,Male,2/4/2004,1.81248E+12,2022
35,22000378,Trinh Lam,Phuc,Male,1/8/2004,9.18011E+12,2022
36,22000399,Phung Hoa,Trang,Female,27/10/2004,2.23645E+12,2022
37,22000840,Ly Bao,Mai,Female,6/4/2004,3.31837E+12,2022
38,22000498,Dang Thi,Mong,Female,16/02/2004,5.96754E+12,2022
39,22000699,Duong Khoa,Thanh,Male,11/2/2004,2.74873E+12,2022
40,22000465,Vu Ngoc,Hong,Female,11/9/2004,3.48929E+12,2022
41,22000725,Tri Thuy,Dung,Female,18/09/2004,4.8411E+11,2022
42,22000374,Ton Thanh,Dai,Male,20/02/2004,7.73219E+12,2022
43,22000371,Phan Thao,Bich,Female,25/09/2004,7.75483E+12,2022
44,22000412,Hua Quyen,Mong,Female,24/03/2004,1.71422E+12,2022
45,22000453,Kieu Quyen,Ngan,Female,20/02/2004,45785183967,2022
46,22000427,Dang Chau,Tam,Female,9/9/2004,5.0796E+12,2022
47,22000816,Kim Vuong,Trung,Male,7/9/2004,6.50927E+12,2022
48,22000554,Vu Vy,Kieu,Female,28/10/2004,8.96054E+12,2022
49,22000469,Quach Dieu,Khanh,Female,4/2/2004,4.85212E+12,2022
50,22000576,Ton Lien,Trang,Female,17/11/2004,7.07502E+12,2022
