No,Student ID,Last Name,First Name,Gender,Date of Birth,Social ID,Academic Year
1,22000395,Luu Huyen,Bich,Female,13/07/2004,1.14009E+12,2022
2,22000699,Duong Khoa,Thanh,Male,11/2/2004,2.74873E+12,2022
3,22000538,Kieu Hiep,Dai,Male,17/11/2004,4.02339E+12,2022
4,22000434,Truong Bich,Nga,Female,17/06/2004,9.56725E+12,2022
5,22000540,Luu Huyen,Trang,Female,16/09/2004,5.81238E+12,2022
6,22000511,Nghiem Hung,Khanh,Male,17/08/2004,6.73784E+12,2022
7,22000752,Bui Hiep,Luat,Male,3/12/2004,8.38918E+12,2022
8,22000551,Linh Hung,Tien,Male,7/9/2004,4.54564E+12,2022
9,22000630,Chu Khai,Long,Male,24/11/2004,8.52706E+12,2022
10,22000365,Tu Bich,Anh,Female,8/8/2004,2.67023E+12,2022
11,22000647,Duong Huu,Vuong,Male,14/02/2004,7.58023E+12,2022
12,22000708,Nghiem Huong,Vy,Female,17/02/2004,3.67784E+12,2022
13,22000403,Ma Lan,Diep,Female,11/5/2004,8.93397E+12,2022
14,22000813,Vinh Huong,Giang,Female,20/01/2004,6.72693E+12,2022
15,22000681,Linh Thu,Tam,Female,6/2/2004,2.05353E+12,2022
16,22000682,Dang Thi,Mong,Female,4/1/2004,6.00346E+12,2022
17,22000629,Tu Thao,Ly,Female,15/05/2004,41446573197,2022
18,22000694,Tran Tu,Toan,Male,19/07/2004,2.35058E+12,2022
19,22000703,Hua Ngan,Thao,Female,8/10/2004,4.10804E+12,2022
20,22000592,Thai Chau,Thuy,Female,16/08/2004,8.21073E+11,2022
21,22000817,Hoang Chau,Phuong,Female,20/11/2004,7.74093E+12,2022
22,22000823,Mai Huu,Kien,Male,26/01/2004,4.36862E+12,2022
23,22000684,Hoang Hoa,Bao,Female,17/05/2004,5.18828E+11,2022
24,22000747,La Thu,Dieu,Female,6/6/2004,6.01232E+12,2022
25,22000626,Cao Hiep,Dai,Male,14/07/2004,1.64595E+12,2022
26,22000379,La Manh,Nghia,Male,26/11/2004,9.52342E+12,2022
27,22000624,Tu Hoang,Son,Male,2/11/2004,1.76673E+12,2022
28,22000563,Cao Tuyen,Tuyet,Female,19/04/2004,4.86703E+12,2022
29,22000798,Trinh Duc,Tan,Male,3/5/2004,7.06876E+12,2022
30,22000522,Ly Hoang,Hoang,Male,7/6/2004,3.15385E+11,2022
31,22000557,Trinh Huyen,Linh,Female,4/3/2004,4.29222E+12,2022
32,22000835,Dang Phuong,Yen,Female,23/01/2004,6.23966E+12,2022
33,22000640,Dieu Giang,Quy,Female,6/12/2004,2.2544E+12,2022
34,22000642,Vo Xuan,Hieu,Male,6/7/2004,1.86385E+12,2022
35,22000744,Ho Vy,Dung,Female,25/02/2004,1.05213E+12,2022
36,22000715,Ton Bich,Tuyet,Female,16/07/2004,9.26542E+12,2022
37,22000345,Vo Hiep,Vinh,Male,11/7/2004,2.60682E+12,2022
38,22000658,Kieu Thu,Hong,Female,28/11/2004,4.78167E+12,2022
39,22000618,Tao Duc,Trung,Male,17/07/2004,5.27792E+12,2022
40,22000656,Tri Khai,Nghia,Male,23/02/2004,9.13751E+12,2022
41,22000771,Hua Dieu,Lan,Female,22/08/2004,2.76212E+12,2022
42,22000636,Nguyen Tam,Ha,Female,19/06/2004,4.10121E+12,2022
43,22000463,Ha Manh,Hoang,Male,6/5/2004,2.99048E+12,2022
44,22000729,Duong Minh,Tan,Male,15/03/2004,2.75788E+12,2022
45,22000354,Tri Khai,Phu,Male,25/02/2004,9.95851E+12,2022
46,22000799,Ly Tam,Lan,Female,22/09/2004,9.23199E+12,2022
47,22000754,Truong Quyen,Quyen,Female,1/8/2004,9.86621E+12,2022
48,22000568,Trinh Khoa,Vuong,Male,18/10/2004,1.01729E+12,2022
49,22000556,Nguyen Tam,Bao,Female,6/12/2004,8.82992E+12,2022
50,22000415,Bui Quyen,Khanh,Female,27/05/2004,1.84996E+12,2022
