No,Student ID,Last Name,First Name,Gender,Date of Birth,Social ID,Academic Year
1,22000775,Vu Thi,Vy,Female,22/02/2004,4.8515E+12,2022
2,22000627,Nguyen Thien,Tan,Male,22/06/2004,76208871320,2022
3,22000426,Lam Hiep,Manh,Male,13/12/2004,4.82025E+11,2022
4,22000779,Mai Huu,Thien,Male,12/6/2004,3.35838E+12,2022
5,22000778,Giang Thuy,Quyen,Female,3/6/2004,2.35025E+12,2022
6,22000780,Nghiem Viet,Quy,Male,4/8/2004,3.22769E+12,2022
7,22000413,Ly Dieu,Ly,Female,4/3/2004,1.08058E+12,2022
8,22000659,Tran Minh,Phuc,Male,3/3/2004,2.39476E+12,2022
9,22000751,Nguyen Thanh,Hien,Female,24/11/2004,2.69859E+12,2022
10,22000755,Lai Vuong,Phat,Male,26/12/2004,8.16237E+12,2022
11,22000596,Bach Linh,Ngan,Female,22/08/2004,7.35434E+11,2022
12,22000605,Duong Nhi,Xuan,Female,11/7/2004,4.31661E+12,2022
13,22000732,Ton Thao,Hang,Female,12/3/2004,5.41364E+12,2022
14,22000582,Hua Xuan,Anh,Male,24/05/2004,5.67204E+12,2022
15,22000587,Cao Huu,Trong,Male,22/07/2004,1.60452E+12,2022
16,22000516,Bui Tuyen,Thao,Female,17/07/2004,1.62783E+12,2022
17,22000501,Vinh Khoa,Hung,Male,21/12/2004,4.88818E+12,2022
18,22000721,Cao Chau,Thao,Female,5/3/2004,4.92211E+12,2022
19,22000500,Do Thien,Tan,Male,12/1/2004,9.20855E+12,2022
20,22000409,Linh Quang,Son,Male,22/10/2004,9.05204E+12,2022
21,22000790,Thai Giang,San,Female,21/01/2004,1.16719E+12,2022
22,22000663,Trinh Khoa,Quang,Male,9/5/2004,4.77476E+11,2022
23,22000573,Vo Thu,Dieu,Female,25/12/2004,4.71167E+12,2022
24,22000683,Duong Thu,Vy,Female,22/12/2004,4.5639E+12,2022
25,22000639,Chu Trung,Manh,Male,17/04/2004,6.80877E+12,2022
26,22000679,Linh Thao,Trang,Female,12/11/2004,6.89517E+12,2022
27,22000797,Nghiem Lien,Ha,Female,22/04/2004,7.02962E+11,2022
28,22000542,Duong Khoa,Cong,Male,10/8/2004,3.30756E+12,2022
29,22000491,Cao Trung,Cuong,Male,5/2/2004,1.47152E+12,2022
30,22000606,Phan Xuan,Lam,Male,7/6/2004,7.18428E+12,2022
31,22000650,Mai Kim,Thao,Female,24/07/2004,5.02377E+12,2022
32,22000371,Phan Thao,Bich,Female,25/09/2004,7.75483E+12,2022
33,22000809,Doan Thanh,Lien,Female,22/08/2004,1.18235E+12,2022
34,22000507,Tao Tuyen,Quy,Female,5/1/2004,5.69053E+12,2022
35,22000835,Dang Phuong,Yen,Female,23/01/2004,6.23966E+12,2022
36,22000564,Bui Manh,Quang,Male,17/04/2004,2.27752E+12,2022
37,22000461,Dinh Viet,Luat,Male,15/12/2004,8.93054E+12,2022
38,22000417,Vinh Trung,Xuan,Male,5/3/2004,8.6778E+12,2022
39,22000420,Nghiem Phuong,Mong,Female,25/10/2004,4.02092E+12,2022
40,22000600,Linh Ngoc,Trang,Female,22/09/2004,6.46033E+11,2022
41,22000634,Dieu Nhi,My,Female,1/5/2004,4.66145E+12,2022
42,22000711,Luu Tam,Cuong,Male,14/09/2004,5.1556E+12,2022
43,22000615,Phung Minh,Hung,Male,6/7/2004,3.36609E+12,2022
44,22000569,Hua Huong,Chi,Female,25/06/2004,5.00578E+12,2022
45,22000839,Vu Viet,Hoang,Male,28/10/2004,9.76096E+12,2022
46,22000482,Hoang Giang,Ha,Female,19/07/2004,6.16383E+12,2022
47,22000609,Tu Phu,Binh,Male,2/5/2004,6.14623E+12,2022
48,22000705,Phan Thanh,Quy,Female,20/09/2004,2.58344E+12,2022
49,22000372,Trinh Thanh,Toan,Male,2/4/2004,1.81248E+12,2022
50,22000354,Tri Khai,Phu,Male,25/02/2004,9.95851E+12,2022
