No,Student ID,Last Name,First Name,Gender,Date of Birth,Social ID,Academic Year
1,22000645,Nghiem Ngan,Trinh,Female,12/01/2004,7731489244214,2022
2,22000646,Pham Kieu,Vy,Female,24/09/2004,5000515646544,2022
3,22000647,Duong Huu,Vuong,Male,14/02/2004,7580232955141,2022
4,22000648,Doan Bao,Bich,Female,06/03/2004,3171964016649,2022
5,22000649,Chau Thanh,Hong,Female,07/02/2004,0600712954461,2022
6,22000650,Mai Kim,Thao,Female,24/07/2004,5023766237229,2022
7,22000651,Ton Tan,Duy,Male,15/10/2004,7760791786057,2022
8,22000652,Ton Phu,Nghia,Male,12/06/2004,9595754280458,2022
9,22000653,Thai Thien,Trung,Male,18/12/2004,9371989795714,2022
10,22000654,Nghiem Ngoc,Mong,Female,19/06/2004,1924425562865,2022
11,22000655,Chu Luan,Thanh,Male,18/09/2004,0500725210314,2022
12,22000656,Tri Khai,Nghia,Male,23/02/2004,9137509433931,2022
13,22000657,Dieu Xuan,Phu,Male,26/03/2004,7211145330756,2022
14,22000658,Kieu Thu,Hong,Female,28/11/2004,4781673466750,2022
15,22000659,Tran Minh,Phuc,Male,03/03/2004,2394764713965,2022
16,22000660,Vu Hiep,Binh,Male,22/12/2004,8583299540621,2022
17,22000661,Ma Hoang,Vuong,Male,18/12/2004,8318288880690,2022
18,22000662,Truong Tuyen,Hien,Female,13/06/2004,4896126939455,2022
19,22000663,Trinh Khoa,Quang,Male,09/05/2004,0477475909367,2022
20,22000664,Quach Phu,Tien,Male,24/06/2004,0758195448008,2022
21,22000665,Nguyen Huong,Hong,Female,14/07/2004,3722358123435,2022
22,22000666,Quach Tien,Duc,Male,09/11/2004,2125315322348,2022
23,22000667,Dieu Chien,Trung,Male,08/06/2004,3673735994652,2022
24,22000668,Dang Hoang,Minh,Male,09/12/2004,6029846816547,2022
25,22000669,Vu Thi,Bao,Female,13/03/2004,6835031974322,2022
26,22000670,Vinh Minh,Thien,Male,20/12/2004,5716663917075,2022
27,22000671,Duong Nhat,Phuc,Male,09/09/2004,8588484150891,2022
28,22000672,Chu Thu,Thuong,Female,24/09/2004,9806903866438,2022
29,22000673,Dinh Phuong,Trinh,Female,20/04/2004,1719146829944,2022
30,22000674,Linh Dieu,Hong,Female,08/04/2004,9527765472611,2022
31,22000675,Ma Nhat,Hoang,Male,11/10/2004,6869773381486,2022
32,22000676,Tao Xuan,Phat,Male,14/07/2004,4246091239672,2022
33,22000677,Ly Dieu,Trinh,Female,20/05/2004,6525505989214,2022
34,22000678,Thai Hoa,Hong,Female,21/02/2004,7829071597653,2022
35,22000679,Linh Thao,Trang,Female,12/11/2004,6895168120885,2022
36,22000680,Tao Xuan,Kha,Male,02/06/2004,6197205768874,2022
37,22000681,Linh Thu,Tam,Female,06/02/2004,2053534203405,2022
38,22000682,Dang Thi,Mong,Female,04/01/2004,6003455449385,2022
39,22000683,Duong Thu,Vy,Female,22/12/2004,4563904873778,2022
40,22000684,Hoang Hoa,Bao,Female,17/05/2004,0518828284809,2022
41,22000685,Kim Trang,Lien,Female,26/11/2004,0765848513879,2022
42,22000686,Trinh Quoc,Vu,Male,27/02/2004,3173030034052,2022
43,22000687,Le Nhat,Tan,Male,22/01/2004,2407554426947,2022
44,22000688,Le Lien,Lien,Female,08/02/2004,0378581347657,2022
45,22000689,Mai Trang,Nga,Female,12/02/2004,6256064591524,2022
46,22000690,Kieu Tien,Trong,Male,16/07/2004,4410573715742,2022
47,22000691,Kim Thanh,Khanh,Male,13/06/2004,4159273667245,2022
48,22000692,Le Thuy,Lien,Female,28/05/2004,4630148841511,2022
49,22000693,Hua Phuong,Lien,Female,07/02/2004,0264332240401,2022
50,22000694,Tran Tu,Toan,Male,19/07/2004,2350582444473,2022
51,22000695,Tao Duy,Huy,Male,02/11/2004,5352514099578,2022
52,22000696,Bui Phu,Gia,Male,14/07/2004,3259192820273,2022
53,22000697,Ho Bich,Lan,Female,04/06/2004,3852208778959,2022
54,22000698,Phung Xuan,Hong,Female,06/11/2004,9834738693127,2022
55,22000699,Duong Khoa,Thanh,Male,11/02/2004,2748728459503,2022
56,22000700,Vinh Huyen,Thao,Female,24/03/2004,7379304911166,2022
57,22000701,La Khai,Long,Male,17/04/2004,4192721603977,2022
58,22000702,Ton Thanh,Mai,Female,24/04/2004,3125859640966,2022
59,22000703,Hua Ngan,Thao,Female,08/10/2004,4108044590678,2022
60,22000704,Trinh Quang,Thien,Male,23/01/2004,8837856767889,2022
61,22000705,Phan Thanh,Quy,Female,20/09/2004,2583444481619,2022
62,22000706,Luu Khoa,Quang,Male,16/04/2004,5994170015322,2022
63,22000707,Ly Tan,Duy,Male,05/09/2004,9965813918027,2022
64,22000708,Nghiem Huong,Vy,Female,17/02/2004,3677841697167,2022
65,22000709,Dang Tan,Duy,Male,16/12/2004,3469421174536,2022
66,22000710,Pham Bich,Thuy,Female,14/09/2004,2366629959019,2022
67,22000711,Luu Tam,Cuong,Male,14/09/2004,5155600199015,2022
68,22000712,Dang Thien,Thanh,Male,20/11/2004,9523094676914,2022
69,22000713,Truong Ngan,Quy,Female,26/01/2004,7092269799845,2022
70,22000714,Nguyen Thao,Ngan,Female,02/04/2004,3664782502159,2022
71,22000715,Ton Bich,Tuyet,Female,16/07/2004,9265421101061,2022
72,22000716,Trinh Chien,Tuan,Male,24/01/2004,3052742811073,2022
73,22000717,Trinh Minh,Xuan,Male,24/09/2004,0281912732377,2022
74,22000718,Dieu Huong,Linh,Female,21/07/2004,8137099670315,2022
75,22000719,Ly Xuan,Chien,Male,10/12/2004,1859739170986,2022
76,22000720,Pham Duc,Trung,Male,06/05/2004,1940262172292,2022
77,22000721,Cao Chau,Thao,Female,05/03/2004,4922112778642,2022
78,22000722,Quach Hung,Vu,Male,10/06/2004,4416639183956,2022
79,22000723,Ho Truong,Hoang,Male,01/08/2004,0432769977441,2022
80,22000724,Dinh Hoa,Xuan,Female,06/08/2004,2361734681160,2022
81,22000725,Tri Thuy,Dung,Female,18/09/2004,0484110077166,2022
82,22000726,Trinh Truong,Quy,Male,14/11/2004,4378804978711,2022
83,22000727,Do Khai,Phu,Male,28/03/2004,0763225685037,2022
84,22000728,Truong Kim,Tuyen,Female,07/01/2004,8007844456259,2022
85,22000729,Duong Minh,Tan,Male,15/03/2004,2757879730175,2022
86,22000730,Ma Nhi,Thu,Female,05/07/2004,3791692280569,2022
87,22000731,Vinh Huong,Mai,Female,26/02/2004,3424904456935,2022
88,22000732,Ton Thao,Hang,Female,12/03/2004,5413635174665,2022
89,22000733,Lam Xuan,San,Female,01/12/2004,5249187707429,2022
90,22000734,Do Hoa,Lien,Female,22/12/2004,3695909002817,2022
91,22000735,Doan Khoa,Trong,Male,06/06/2004,7679620816664,2022
92,22000736,Hoang Khai,Lam,Male,21/05/2004,6880326905600,2022
93,22000737,Trinh Tan,Duy,Male,26/07/2004,3688933196090,2022
94,22000738,Hoang Giang,San,Female,09/04/2004,6145755854283,2022
95,22000739,Linh Vuong,Thanh,Male,12/08/2004,6363978764839,2022
96,22000740,Ho Dieu,Trang,Female,15/03/2004,2597154794432,2022
97,22000741,Tran Tuyen,Kieu,Female,18/04/2004,0734305732014,2022
98,22000742,Ma Hiep,Binh,Male,16/07/2004,0605189929028,2022
99,22000743,Bui Quyen,Thao,Female,26/05/2004,3907970038081,2022
100,22000744,Ho Vy,Dung,Female,25/02/2004,1052127404576,2022
