No,Student ID,Last Name,First Name,Gender,Date of Birth,Social ID,Academic Year
1,23000791,Tu Bich,Mai,Female,14/10/2005,9.42212E+12,2023
2,23000360,Pham Minh,Cong,Male,13/07/2005,1.14447E+12,2023
3,23000740,Kim Tuyen,Hoa,Female,6/10/2005,3.5092E+12,2023
4,23000375,Ho Bich,Xuan,Female,16/05/2005,5.23808E+12,2023
5,23000418,Chu Luan,Vuong,Male,19/08/2005,5.97277E+11,2023
6,23000744,Pham Duc,Anh,Male,15/09/2005,5.43513E+11,2023
7,23000709,Truong Thao,Thu,Female,3/4/2005,3.33476E+12,2023
8,23000467,Phung Van,Dinh,Male,27/07/2005,1.95294E+12,2023
9,23000519,Dang Huong,Thao,Female,26/11/2005,7.59844E+12,2023
10,23000657,Chau Huyen,Tuyen,Female,10/10/2005,6.90999E+12,2023
11,23000611,Chu Thinh,Nam,Male,27/04/2005,4.39733E+12,2023
12,23000649,Tao Tu,Chien,Male,26/05/2005,3.38793E+12,2023
13,23000829,Dang Nhat,Phuc,Male,6/8/2005,6.502E+12,2023
14,23000438,Tri Hung,Trong,Male,5/11/2005,9.95566E+12,2023
15,23000443,Phung Viet,Quang,Male,10/2/2005,8.79528E+12,2023
16,23000716,Hoang Hoa,Thu,Female,15/11/2005,3.50623E+12,2023
17,23000393,Giang Quang,Viet,Male,7/6/2005,4.64564E+11,2023
18,23000797,Tu Thao,Diep,Female,14/01/2005,3.69687E+12,2023
19,23000392,Cao Thu,Chi,Female,9/7/2005,7.92113E+12,2023
20,23000733,Lai Tam,Thanh,Male,2/8/2005,8.63641E+12,2023
21,23000626,Vo Bich,Nga,Female,28/09/2005,3.94655E+11,2023
22,23000783,Chau My,Quyen,Female,19/09/2005,6.16156E+12,2023
23,23000470,Mai Thien,Gia,Male,17/11/2005,9.36043E+11,2023
24,23000461,Quach Hiep,Duy,Male,28/04/2005,6.21888E+12,2023
25,23000616,Vu Hoa,Lien,Female,6/9/2005,1.21197E+12,2023
26,23000682,Lai Quyen,Huong,Female,10/2/2005,2.18537E+12,2023
27,23000701,Doan Lien,Tuyet,Female,17/07/2005,5.25944E+12,2023
28,23000478,Nghiem Quang,Hoang,Male,13/03/2005,8.49261E+12,2023
29,23000483,Truong Hoang,Viet,Male,4/7/2005,5.87848E+12,2023
30,23000818,Vo Bich,Hien,Female,4/4/2005,8.8074E+11,2023
31,23000523,Tran Duc,Tien,Male,22/04/2005,1.7881E+12,2023
32,23000506,Ton Dieu,Chi,Female,4/10/2005,6.61716E+12,2023
33,23000625,Kieu Huong,Khanh,Female,3/11/2005,5.88769E+11,2023
34,23000544,Dinh Thao,Ha,Female,5/11/2005,8.34626E+12,2023
35,23000747,Kieu Hung,Thien,Male,14/10/2005,1.57269E+12,2023
36,23000828,Mai Thinh,Anh,Male,12/1/2005,6.87264E+12,2023
37,23000729,Mai Hoa,Hien,Female,26/02/2005,6.09939E+12,2023
38,23000714,Lam Lan,Kieu,Female,11/4/2005,3.45764E+12,2023
39,23000481,Pham Quoc,Gia,Male,5/4/2005,8.58019E+12,2023
40,23000421,Vu Hoa,Thuong,Female,27/06/2005,5.2274E+12,2023
41,23000586,Cao Lam,Vuong,Male,1/9/2005,3.5551E+12,2023
42,23000546,Duong Kieu,Tuyet,Female,4/2/2005,6.48784E+12,2023
43,23000627,Pham Nhi,Nga,Female,8/10/2005,5.496E+12,2023
44,23000755,Ho Tan,Binh,Male,10/1/2005,3.92329E+12,2023
45,23000820,Trinh Ngan,Bich,Female,12/11/2005,7.24338E+12,2023
46,23000492,Phan Tien,Quy,Male,27/01/2005,2.86836E+12,2023
47,23000452,La Quyen,Trinh,Female,1/6/2005,5.44257E+12,2023
48,23000757,Ton Phu,Tien,Male,11/9/2005,3.88909E+11,2023
49,23000530,Do Hoang,Anh,Male,16/07/2005,1.38803E+12,2023
50,23000364,Bach Nhi,Diep,Female,12/12/2005,3.26936E+12,2023
