No,Student ID,Last Name,First Name,Gender,Date of Birth,Social ID,Academic Year
1,23000639,Tao My,Thu,Female,28/09/2005,7.04433E+12,2023
2,23000441,Phung Minh,Hieu,Male,28/09/2005,7.38359E+12,2023
3,23000487,Vinh Quyen,Linh,Female,27/02/2005,1.15325E+12,2023
4,23000661,Hoang Thu,Khanh,Female,15/10/2005,7.64917E+12,2023
5,23000538,Vinh Thanh,Gia,Male,3/2/2005,1.67254E+12,2023
6,23000761,Ly Hoang,Dai,Male,2/2/2005,4.90651E+12,2023
7,23000347,Trinh Mai,Thuong,Female,20/12/2005,7.35458E+12,2023
8,23000652,Kim Nhi,Ha,Female,25/03/2005,8.94087E+12,2023
9,23000649,Tao Tu,Chien,Male,26/05/2005,3.38793E+12,2023
10,23000498,Trinh Hoa,Bao,Female,24/06/2005,4.12095E+12,2023
11,23000551,Ha Xuan,Ly,Female,24/06/2005,8.84789E+12,2023
12,23000542,Kieu Tam,Xuan,Male,19/03/2005,6.19603E+11,2023
13,23000486,Ma Huyen,Dieu,Female,26/10/2005,9.87367E+12,2023
14,23000721,Thai Minh,Manh,Male,12/5/2005,6.97325E+12,2023
15,23000767,Thai Chau,Diep,Female,4/2/2005,6.19051E+12,2023
16,23000626,Vo Bich,Nga,Female,28/09/2005,3.94655E+11,2023
17,23000803,Truong Thien,Quy,Male,10/5/2005,5.06685E+12,2023
18,23000426,Cao Quang,Viet,Male,17/02/2005,6.42146E+12,2023
19,23000763,Vinh Khai,Duc,Male,21/09/2005,2.78372E+12,2023
20,23000513,Dang Tam,Ly,Female,3/3/2005,1.33854E+12,2023
21,23000581,Ton Truong,Trung,Male,2/3/2005,6.15925E+12,2023
22,23000663,Ha Linh,Tuyen,Female,6/11/2005,4.32446E+12,2023
23,23000359,Pham Thi,Hien,Female,10/8/2005,2.62184E+12,2023
24,23000609,Giang Nhi,Tam,Female,14/02/2005,4.84884E+12,2023
25,23000765,Tran Chien,Luat,Male,26/04/2005,3.76199E+12,2023
26,23000446,Vu Luan,Duc,Male,25/03/2005,8.33822E+11,2023
27,23000589,Nghiem Ngoc,Hong,Female,19/01/2005,3.04839E+12,2023
28,23000452,La Quyen,Trinh,Female,1/6/2005,5.44257E+12,2023
29,23000729,Mai Hoa,Hien,Female,26/02/2005,6.09939E+12,2023
30,23000670,Nghiem Phu,Dinh,Male,3/8/2005,9.44498E+12,2023
31,23000834,Lai Nhi,Dung,Female,23/10/2005,4.31534E+12,2023
32,23000696,Kim Xuan,Quy,Female,26/08/2005,5.71792E+12,2023
33,23000471,Tao Giang,Yen,Female,18/05/2005,7.88929E+12,2023
34,23000839,Ma Thien,Xuan,Male,15/11/2005,7.67605E+12,2023
35,23000832,La Tam,Kha,Male,17/09/2005,4.30633E+12,2023
36,23000724,Tri Nhat,Nam,Male,5/11/2005,4.56556E+12,2023
37,23000606,Truong Minh,Nghia,Male,27/04/2005,6.21963E+12,2023
38,23000777,Vo Phu,Truong,Male,19/12/2005,2.37211E+11,2023
39,23000371,Cao Phu,Quy,Male,27/06/2005,4.93524E+12,2023
40,23000641,Tu Lien,Thao,Female,15/10/2005,4.37979E+12,2023
41,23000664,Bach Huong,My,Female,19/06/2005,6.56206E+12,2023
42,23000445,Duong Thanh,Yen,Female,8/6/2005,8.02682E+12,2023
43,23000719,Tu Tuyen,Phuong,Female,16/09/2005,4.76541E+12,2023
44,23000629,Truong Xuan,Trong,Male,19/03/2005,3.5319E+12,2023
45,23000637,Giang Ngoc,Phuong,Female,10/4/2005,4.72155E+12,2023
46,23000634,Dang Hung,Phuc,Male,4/7/2005,9.4491E+12,2023
47,23000358,Do Lam,Lam,Male,4/8/2005,8.49663E+12,2023
48,23000422,Kieu Xuan,Anh,Female,15/04/2005,7.30113E+12,2023
49,23000454,Tu Vuong,Gia,Male,4/10/2005,3.52756E+12,2023
50,23000405,Vu Linh,Bich,Female,14/10/2005,6.88009E+12,2023
