No,Student ID,Last Name,First Name,Gender,Date of Birth,Social ID,Academic Year
1,21000358,Phung Truong,Manh,Male,28/11/2003,1.97807E+12,2021
2,21000534,Pham Trang,Thao,Female,1/8/2003,9.65472E+12,2021
3,21000497,Ly Thien,Viet,Male,21/04/2003,5.72505E+12,2021
4,21000656,Chau Huong,Tuyet,Female,27/11/2003,5.60874E+12,2021
5,21000653,Truong Chien,Luat,Male,5/9/2003,9.6747E+12,2021
6,21000654,Ma Phu,Tien,Male,7/9/2003,6.11226E+12,2021
7,21000726,Trinh Thanh,Dinh,Male,24/01/2003,2.6652E+12,2021
8,21000500,Lai Khai,Huy,Male,24/12/2003,7.67124E+12,2021
9,21000760,Dinh Linh,San,Female,7/11/2003,3.77413E+11,2021
10,21000563,Le Thu,Hoa,Female,17/11/2003,3.70844E+12,2021
11,21000405,Giang Hoang,Tan,Male,15/10/2003,3.50156E+12,2021
12,21000505,Tao Giang,Dung,Female,4/5/2003,2.95899E+12,2021
13,21000410,Thai Thanh,Ha,Female,6/5/2003,2.1126E+12,2021
14,21000357,Phung Quang,Huy,Male,9/12/2003,6.2742E+12,2021
15,21000539,Dang Huu,Vu,Male,6/9/2003,6.19908E+11,2021
16,21000567,Bach Mai,Thuy,Female,11/3/2003,2.41377E+12,2021
17,21000507,Chau Huyen,Thu,Female,19/01/2003,5.11548E+12,2021
18,21000348,Chu Thanh,Tam,Female,15/06/2003,7.37325E+12,2021
19,21000662,Tri Thuy,My,Female,27/11/2003,8.96096E+12,2021
20,21000754,Luu Hoang,Trong,Male,22/05/2003,1.71794E+12,2021
21,21000628,Kieu Bich,Lien,Female,17/10/2003,5.67095E+12,2021
22,21000598,Giang Minh,Xuan,Male,10/8/2003,6.04553E+12,2021
23,21000447,Thai Mai,Khanh,Female,4/9/2003,5.40706E+12,2021
24,21000572,Vo Trung,Chien,Male,20/07/2003,6.56643E+12,2021
25,21000636,Luu Thinh,Kha,Male,26/12/2003,9.93256E+12,2021
26,21000708,Kieu Huu,Phu,Male,15/08/2003,6.27423E+12,2021
27,21000750,Dang Ngoc,Yen,Female,1/2/2003,2.5164E+12,2021
28,21000385,Chu Thien,Son,Male,16/08/2003,3.36028E+12,2021
29,21000697,Tao Hung,Minh,Male,2/8/2003,7.89486E+12,2021
30,21000506,Trinh Dieu,Ha,Female,14/04/2003,2.36075E+12,2021
31,21000757,Ma Lien,Vy,Female,4/5/2003,5.26491E+12,2021
32,21000590,Le Manh,Son,Male,26/10/2003,6.971E+12,2021
33,21000724,Ton Lien,Ngoc,Female,13/06/2003,9546300841,2021
34,21000844,Bui Duc,Vuong,Male,15/04/2003,9.37126E+12,2021
35,21000810,Pham Cong,Lam,Male,6/12/2003,5.36693E+12,2021
36,21000425,Dieu Linh,My,Female,28/11/2003,1.19408E+12,2021
37,21000732,Linh Giang,Mong,Female,6/11/2003,3.22897E+11,2021
38,21000606,Linh Linh,Diep,Female,16/12/2003,1.30677E+12,2021
39,21000777,Phung Chau,Tuyet,Female,15/11/2003,9.01248E+12,2021
40,21000790,Dieu My,Ha,Female,6/10/2003,9.47634E+12,2021
41,21000556,Vo Lien,Trinh,Female,19/10/2003,8.65548E+12,2021
42,21000691,Truong Lan,Phuong,Female,13/01/2003,8.8054E+12,2021
43,21000796,Vinh Duc,Quang,Male,27/09/2003,8.16737E+12,2021
44,21000795,Chau Phu,Trung,Male,11/11/2003,7.92681E+12,2021
45,21000614,Ton Quoc,Manh,Male,19/02/2003,9.92918E+12,2021
46,21000638,Vu Thanh,Trung,Male,14/07/2003,3.31088E+12,2021
47,21000451,Ma Lam,Nghia,Male,14/12/2003,5.75169E+12,2021
48,21000819,Thai Thao,Lien,Female,10/1/2003,5.1702E+12,2021
49,21000604,Ha Vy,Hoa,Female,17/07/2003,1.6927E+12,2021
50,21000513,Kieu Hoang,Truong,Male,9/11/2003,1.51439E+11,2021
