No,Student ID,Last Name,First Name,Gender,Date of Birth,Social ID,Academic Year
1,22000406,Trinh Nhat,Trong,Male,17/11/2004,9.94137E+12,2022
2,22000782,Dieu Thao,Lien,Female,5/6/2004,3.57241E+12,2022
3,22000513,Dang Van,Cong,Male,13/07/2004,6.61935E+12,2022
4,22000641,Dinh Vy,Giang,Female,14/08/2004,3.74269E+12,2022
5,22000665,Nguyen Huong,Hong,Female,14/07/2004,3.72236E+12,2022
6,22000762,Nghiem Phuong,Chi,Female,24/01/2004,1.71872E+12,2022
7,22000589,Quach Van,Long,Male,13/08/2004,2.75355E+12,2022
8,22000553,Do Ngan,Dung,Female,19/09/2004,1.92275E+11,2022
9,22000844,Do Trung,Trong,Male,28/02/2004,2.50089E+12,2022
10,22000570,Tran Bich,Bich,Female,7/9/2004,1.84681E+12,2022
11,22000540,Luu Huyen,Trang,Female,16/09/2004,5.81238E+12,2022
12,22000833,Kieu Tan,Bao,Male,16/04/2004,7.14326E+12,2022
13,22000721,Cao Chau,Thao,Female,5/3/2004,4.92211E+12,2022
14,22000746,Dinh Giang,Hoa,Female,21/04/2004,7.45728E+12,2022
15,22000384,Doan Tam,Luat,Male,17/07/2004,2.41764E+12,2022
16,22000711,Luu Tam,Cuong,Male,14/09/2004,5.1556E+12,2022
17,22000580,Le Bao,Hong,Female,11/3/2004,1.65034E+12,2022
18,22000501,Vinh Khoa,Hung,Male,21/12/2004,4.88818E+12,2022
19,22000623,Thai Vuong,Bao,Male,24/01/2004,5.9595E+12,2022
20,22000449,Hua Huu,Cong,Male,11/3/2004,6.03444E+12,2022
21,22000386,Truong Nhi,Trang,Female,1/1/2004,7.10712E+12,2022
22,22000541,Ho Manh,Cong,Male,18/03/2004,1.16723E+12,2022
23,22000567,Chu Chien,Toan,Male,23/11/2004,6.68867E+12,2022
24,22000471,Tu Lan,Quynh,Female,20/11/2004,4.15794E+12,2022
25,22000772,Dinh Tam,Vy,Female,16/04/2004,8.03322E+12,2022
26,22000417,Vinh Trung,Xuan,Male,5/3/2004,8.6778E+12,2022
27,22000429,Do Quoc,Xuan,Male,23/07/2004,7.6834E+12,2022
28,22000712,Dang Thien,Thanh,Male,20/11/2004,9.52309E+12,2022
29,22000724,Dinh Hoa,Xuan,Female,6/8/2004,2.36173E+12,2022
30,22000526,Thai Kieu,Thao,Female,14/03/2004,7.57688E+12,2022
31,22000476,Le Chien,Tan,Male,14/08/2004,4.56167E+11,2022
32,22000663,Trinh Khoa,Quang,Male,9/5/2004,4.77476E+11,2022
33,22000478,Giang Hung,Truong,Male,18/01/2004,4.48025E+12,2022
34,22000631,Ho Ngoc,Chi,Female,13/12/2004,4.70681E+12,2022
35,22000520,Ngo Xuan,Xuan,Female,2/9/2004,3.26667E+12,2022
36,22000402,Bach Lan,Vy,Female,21/08/2004,1.93787E+12,2022
37,22000401,Ha Xuan,Cong,Male,21/02/2004,4.52956E+12,2022
38,22000418,Duong Truong,Vu,Male,3/8/2004,5.08869E+12,2022
39,22000532,Ngo Giang,Hien,Female,19/07/2004,6.30757E+12,2022
40,22000688,Le Lien,Lien,Female,8/2/2004,3.78581E+11,2022
41,22000369,Ma Vy,Thao,Female,28/04/2004,2.64802E+12,2022
42,22000817,Hoang Chau,Phuong,Female,20/11/2004,7.74093E+12,2022
43,22000713,Truong Ngan,Quy,Female,26/01/2004,7.09227E+12,2022
44,22000602,Ton Trang,Thuong,Female,28/04/2004,7.76139E+12,2022
45,22000428,Phan Quoc,Dinh,Male,24/09/2004,4.46828E+12,2022
46,22000832,Ngo Thuy,Trang,Female,21/07/2004,1.15221E+11,2022
47,22000403,Ma Lan,Diep,Female,11/5/2004,8.93397E+12,2022
48,22000648,Doan Bao,Bich,Female,6/3/2004,3.17196E+12,2022
49,22000519,Thai Vuong,Kien,Male,24/03/2004,8.28441E+12,2022
50,22000787,Trinh Phu,Kien,Male,18/03/2004,3.04693E+12,2022
