No,Student ID,Last Name,First Name,Gender,Date of Birth,Social ID,Academic Year
1,22000662,Truong Tuyen,Hien,Female,13/06/2004,4.89613E+12,2022
2,22000399,Phung Hoa,Trang,Female,27/10/2004,2.23645E+12,2022
3,22000451,Lai Trung,Son,Male,23/01/2004,4.88697E+12,2022
4,22000403,Ma Lan,Diep,Female,11/5/2004,8.93397E+12,2022
5,22000719,Ly Xuan,Chien,Male,10/12/2004,1.85974E+12,2022
6,22000803,Ton Thanh,Ngan,Female,17/11/2004,1.94148E+12,2022
7,22000685,Kim Trang,Lien,Female,26/11/2004,7.65849E+11,2022
8,22000570,Tran Bich,Bich,Female,7/9/2004,1.84681E+12,2022
9,22000746,Dinh Giang,Hoa,Female,21/04/2004,7.45728E+12,2022
10,22000613,Doan Thanh,My,Female,18/02/2004,4.79156E+12,2022
11,22000541,Ho Manh,Cong,Male,18/03/2004,1.16723E+12,2022
12,22000572,Phung My,Ngan,Female,19/01/2004,4.78396E+12,2022
13,22000632,Ha Tien,Hung,Male,16/07/2004,6.22689E+12,2022
14,22000770,Vo Dieu,Hien,Female,8/11/2004,6.27314E+12,2022
15,22000575,Vu Chau,Bao,Female,9/1/2004,1.72331E+12,2022
16,22000438,Kieu Thanh,Giang,Female,10/5/2004,1.63913E+11,2022
17,22000628,Lam Vy,Bich,Female,11/3/2004,5.68367E+12,2022
18,22000617,Tri Chien,Quang,Male,28/05/2004,5.2299E+12,2022
19,22000741,Tran Tuyen,Kieu,Female,18/04/2004,7.34306E+11,2022
20,22000390,Tao Manh,Xuan,Male,22/11/2004,6.99483E+12,2022
21,22000548,Kim Phuong,Nga,Female,5/8/2004,9.63567E+11,2022
22,22000799,Ly Tam,Lan,Female,22/09/2004,9.23199E+12,2022
23,22000466,Lai Ngoc,Ngan,Female,18/06/2004,7.74428E+12,2022
24,22000514,Hua Phuong,Thuy,Female,17/07/2004,8.94564E+12,2022
25,22000658,Kieu Thu,Hong,Female,28/11/2004,4.78167E+12,2022
26,22000580,Le Bao,Hong,Female,11/3/2004,1.65034E+12,2022
27,22000616,Ly Dieu,Hong,Female,4/6/2004,3.33396E+12,2022
28,22000537,Hua Xuan,Chi,Female,19/04/2004,9.1863E+11,2022
29,22000588,Ton Kim,Huong,Female,20/05/2004,3.42486E+12,2022
30,22000689,Mai Trang,Nga,Female,12/2/2004,6.25606E+12,2022
31,22000538,Kieu Hiep,Dai,Male,17/11/2004,4.02339E+12,2022
32,22000727,Do Khai,Phu,Male,28/03/2004,7.63226E+11,2022
33,22000783,Phung Lien,Tuyen,Female,17/06/2004,8.27577E+12,2022
34,22000408,Phung Minh,Duc,Male,9/4/2004,4.98247E+12,2022
35,22000497,Truong Kieu,Thuong,Female,23/06/2004,5.21009E+12,2022
36,22000358,La Van,Chien,Male,3/6/2004,2.62689E+12,2022
37,22000633,Luu Tien,Vuong,Male,12/4/2004,7.8941E+12,2022
38,22000396,Ma Minh,Trong,Male,27/08/2004,7.10263E+12,2022
39,22000765,Lai Thanh,Xuan,Female,12/5/2004,8.71954E+12,2022
40,22000767,Truong Huong,Tuyet,Female,27/06/2004,9.54748E+12,2022
41,22000463,Ha Manh,Hoang,Male,6/5/2004,2.99048E+12,2022
42,22000804,Vu Tam,Hong,Female,24/11/2004,6.7391E+12,2022
43,22000472,Dang Trang,Hoa,Female,26/02/2004,5.93005E+12,2022
44,22000661,Ma Hoang,Vuong,Male,18/12/2004,8.31829E+12,2022
45,22000614,Quach Thien,Trong,Male,8/10/2004,7.62516E+12,2022
46,22000626,Cao Hiep,Dai,Male,14/07/2004,1.64595E+12,2022
47,22000792,Lam Vuong,Kha,Male,25/12/2004,2.48669E+12,2022
48,22000619,Vinh Quoc,Bao,Male,13/12/2004,9.06444E+12,2022
49,22000392,Vo Vy,Ly,Female,27/08/2004,7.05863E+12,2022
50,22000731,Vinh Huong,Mai,Female,26/02/2004,3.4249E+12,2022
