No,Student ID,Last Name,First Name,Gender,Date of Birth,Social ID,Academic Year
1,22000545,Phung Xuan,Huong,Female,02/03/2004,5248325137380,2022
2,22000546,Chu Nhi,Mong,Female,25/03/2004,2347375122961,2022
3,22000547,Lam Mai,My,Female,05/10/2004,7171461268401,2022
4,22000548,Kim Phuong,Nga,Female,05/08/2004,0963566694723,2022
5,22000549,Vo Ngoc,Thuong,Female,10/07/2004,6463089158135,2022
6,22000550,Luu Thi,Linh,Female,01/07/2004,8013011781669,2022
7,22000551,Linh Hung,Tien,Male,07/09/2004,4545635324942,2022
8,22000552,Lam Minh,Khanh,Male,14/01/2004,1173758472464,2022
9,22000553,Do Ngan,Dung,Female,19/09/2004,0192274998474,2022
10,22000554,Vu Vy,Kieu,Female,28/10/2004,8960542574271,2022
11,22000555,Nguyen Khoa,Huy,Male,27/06/2004,2111153047902,2022
12,22000556,Nguyen Tam,Bao,Female,06/12/2004,8829917805007,2022
13,22000557,Trinh Huyen,Linh,Female,04/03/2004,4292220232349,2022
14,22000558,Kieu Chien,Thien,Male,12/02/2004,3698972821999,2022
15,22000559,Kieu Thinh,Trong,Male,13/03/2004,4024250131527,2022
16,22000560,Ho Kieu,Lien,Female,03/12/2004,6536151952602,2022
17,22000561,Vo Huu,Vinh,Male,06/03/2004,2857821464280,2022
18,22000562,Mai Huu,Binh,Male,26/04/2004,3003537399360,2022
19,22000563,Cao Tuyen,Tuyet,Female,19/04/2004,4867029691470,2022
20,22000564,Bui Manh,Quang,Male,17/04/2004,2277515973823,2022
21,22000565,Hoang Minh,Son,Male,15/01/2004,7642296659822,2022
22,22000566,Ngo Thu,Ha,Female,18/12/2004,2333017334039,2022
23,22000567,Chu Chien,Toan,Male,23/11/2004,6688667893851,2022
24,22000568,Trinh Khoa,Vuong,Male,18/10/2004,1017291046647,2022
25,22000569,Hua Huong,Chi,Female,25/06/2004,5005777668483,2022
26,22000570,Tran Bich,Bich,Female,07/09/2004,1846810261271,2022
27,22000571,Truong Phuong,Giang,Female,09/03/2004,7189921716942,2022
28,22000572,Phung My,Ngan,Female,19/01/2004,4783959159702,2022
29,22000573,Vo Thu,Dieu,Female,25/12/2004,4711672885179,2022
30,22000574,Ha Thanh,Ngan,Female,15/03/2004,8813278296140,2022
31,22000575,Vu Chau,Bao,Female,09/01/2004,1723308193673,2022
32,22000576,Ton Lien,Trang,Female,17/11/2004,7075018891459,2022
33,22000577,Nguyen Ngoc,Mai,Female,05/08/2004,6677590362908,2022
34,22000578,Ha Manh,Hoang,Male,06/02/2004,2099732282890,2022
35,22000579,Mai Lien,Nga,Female,15/03/2004,9912741282922,2022
36,22000580,Le Bao,Hong,Female,11/03/2004,1650340332857,2022
37,22000581,Giang Truong,Thanh,Male,06/10/2004,4647324104814,2022
38,22000582,Hua Xuan,Anh,Male,24/05/2004,5672043037404,2022
39,22000583,Phan Minh,Dai,Male,06/09/2004,2244215667609,2022
40,22000584,Cao Bao,Mong,Female,08/03/2004,2450735123714,2022
41,22000585,Do My,Bao,Female,10/12/2004,5763259649791,2022
42,22000586,Cao Cong,Nghia,Male,28/08/2004,7885591120905,2022
43,22000587,Cao Huu,Trong,Male,22/07/2004,1604521151539,2022
44,22000588,Ton Kim,Huong,Female,20/05/2004,3424861710612,2022
45,22000589,Quach Van,Long,Male,13/08/2004,2753554194372,2022
46,22000590,Phan Lan,Yen,Female,28/06/2004,6111975144621,2022
47,22000591,Tu Hung,Tuan,Male,01/04/2004,8241985869457,2022
48,22000592,Thai Chau,Thuy,Female,16/08/2004,0821073446025,2022
49,22000593,Chu Thu,Hien,Female,09/11/2004,9390085211031,2022
