No,Student ID,Last Name,First Name,Gender,Date of Birth,Social ID,Academic Year
1,23000575,Quach Huyen,Thuong,Female,8/6/2005,4.97013E+12,2023
2,23000640,Cao Thao,Nga,Female,14/12/2005,8.05924E+12,2023
3,23000405,Vu Linh,Bich,Female,14/10/2005,6.88009E+12,2023
4,23000760,Tao Thanh,Nghia,Male,28/05/2005,2.50008E+12,2023
5,23000469,Luu Huu,Gia,Male,7/6/2005,5.25972E+12,2023
6,23000690,Giang Minh,Kien,Male,8/10/2005,3.59262E+12,2023
7,23000368,Vu Ngoc,Tam,Female,25/01/2005,8.31406E+12,2023
8,23000429,Dieu Linh,Kieu,Female,8/2/2005,9.22713E+11,2023
9,23000596,Ly Huu,Vu,Male,27/10/2005,5.56227E+12,2023
10,23000509,Dang Thanh,Thu,Female,4/1/2005,2.29896E+11,2023
11,23000614,Kim Quoc,Bao,Male,18/10/2005,8.75304E+12,2023
12,23000526,Truong Thu,Thuong,Female,24/03/2005,1.46768E+12,2023
13,23000837,Bach Tuyen,Chi,Female,21/01/2005,8.66736E+12,2023
14,23000719,Tu Tuyen,Phuong,Female,16/09/2005,4.76541E+12,2023
15,23000725,Kim Minh,Phuc,Male,1/11/2005,2.38176E+12,2023
16,23000586,Cao Lam,Vuong,Male,1/9/2005,3.5551E+12,2023
17,23000610,Doan Van,Luat,Male,2/4/2005,9.85726E+11,2023
18,23000484,Doan Luan,Nghia,Male,26/02/2005,9.17133E+12,2023
19,23000578,Dang Thi,Ly,Female,26/06/2005,8.75499E+11,2023
20,23000467,Phung Van,Dinh,Male,27/07/2005,1.95294E+12,2023
21,23000774,Duong Truong,Kien,Male,7/12/2005,5.45844E+12,2023
22,23000660,Vu Huu,Dai,Male,5/6/2005,6.25263E+12,2023
23,23000831,Bui Bich,Bao,Female,22/07/2005,5.8398E+11,2023
24,23000814,Truong Huong,Thu,Female,14/11/2005,5.86503E+12,2023
25,23000360,Pham Minh,Cong,Male,13/07/2005,1.14447E+12,2023
26,23000713,Doan Thinh,Tien,Male,17/02/2005,7.56128E+12,2023
27,23000787,Kim Thao,Thu,Female,1/3/2005,2.7675E+12,2023
28,23000838,Do Phu,Tan,Male,28/09/2005,2.92941E+12,2023
29,23000377,Quach Vy,Thuong,Female,8/12/2005,8.62985E+12,2023
30,23000347,Trinh Mai,Thuong,Female,20/12/2005,7.35458E+12,2023
31,23000346,Truong Chau,Hoa,Female,12/10/2005,9.38385E+12,2023
32,23000703,Ho Truong,Trung,Male,20/12/2005,4.21426E+12,2023
33,23000734,Trinh Dieu,Bao,Female,18/02/2005,4.95956E+12,2023
34,23000465,Nghiem Chien,Huy,Male,15/12/2005,2.38511E+12,2023
35,23000391,Le Vuong,Vuong,Male,9/9/2005,6.30288E+12,2023
36,23000626,Vo Bich,Nga,Female,28/09/2005,3.94655E+11,2023
37,23000436,Lai Mai,Trinh,Female,24/07/2005,5.3164E+12,2023
38,23000639,Tao My,Thu,Female,28/09/2005,7.04433E+12,2023
39,23000745,Bui Thi,Thao,Female,28/04/2005,9.85894E+12,2023
40,23000517,Truong Lam,Truong,Male,27/01/2005,5.67936E+12,2023
41,23000457,Linh Nhat,Cuong,Male,1/6/2005,9.32417E+12,2023
42,23000820,Trinh Ngan,Bich,Female,12/11/2005,7.24338E+12,2023
43,23000565,Bui Phuong,Quyen,Female,17/12/2005,2.73598E+12,2023
44,23000771,Lam Thinh,Tien,Male,11/3/2005,5.31535E+12,2023
45,23000811,Ton Giang,Tuyen,Female,25/03/2005,9.24761E+12,2023
46,23000684,Ton Linh,Xuan,Female,2/12/2005,1.80401E+12,2023
47,23000840,Vo Nhat,Truong,Male,8/3/2005,5.59773E+12,2023
48,23000746,Giang Chau,Lien,Female,12/6/2005,2.59497E+12,2023
49,23000605,Dinh Dieu,Kieu,Female,21/01/2005,8.73052E+12,2023
50,23000692,Vo Xuan,Thuong,Female,8/2/2005,3.29204E+12,2023
