No,Student ID,Last Name,First Name,Gender,Date of Birth,Social ID,Academic Year
1,23000746,Giang Chau,Lien,Female,12/6/2005,2.59497E+12,2023
2,23000792,Hoang Lam,Kha,Male,11/5/2005,5.36937E+11,2023
3,23000367,Truong Tam,Gia,Male,5/3/2005,3.66459E+12,2023
4,23000408,Duong Truong,Truong,Male,11/8/2005,9.127E+12,2023
5,23000596,Ly Huu,Vu,Male,27/10/2005,5.56227E+12,2023
6,23000739,Truong Tu,Anh,Male,3/6/2005,8.66186E+11,2023
7,23000826,Tran Thi,Ha,Female,20/10/2005,8.53912E+12,2023
8,23000628,Nguyen Trung,Thien,Male,11/10/2005,7.48566E+12,2023
9,23000607,Thai Bich,Mai,Female,20/05/2005,9.55803E+12,2023
10,23000469,Luu Huu,Gia,Male,7/6/2005,5.25972E+12,2023
11,23000619,Lai Thu,Lien,Female,4/6/2005,7.17416E+12,2023
12,23000811,Ton Giang,Tuyen,Female,25/03/2005,9.24761E+12,2023
13,23000507,Phung Chien,Bao,Male,22/12/2005,1.51038E+12,2023
14,23000417,Vinh Bich,Hoa,Female,3/9/2005,1.47105E+12,2023
15,23000643,Doan Kieu,Hien,Female,27/02/2005,9.88547E+12,2023
16,23000499,Hoang Duy,Quang,Male,19/07/2005,9.57256E+12,2023
17,23000397,Ho Mai,Vy,Female,2/12/2005,1.39762E+12,2023
18,23000495,Chu Mai,Quyen,Female,28/02/2005,9.21339E+12,2023
19,23000385,Dang Mai,Bao,Female,1/4/2005,9.34877E+12,2023
20,23000501,Lai Thuy,Diep,Female,12/6/2005,9.69251E+12,2023
21,23000493,Dieu Huyen,Lien,Female,27/07/2005,3.25836E+12,2023
22,23000400,Hua Khoa,Dinh,Male,6/10/2005,3.51564E+12,2023
23,23000541,Tran Lam,Tuan,Male,26/04/2005,3.16746E+12,2023
24,23000671,Tri Linh,Vy,Female,24/04/2005,2.66569E+12,2023
25,23000707,Le Hiep,Son,Male,21/07/2005,5.58352E+12,2023
26,23000568,Do Van,Vuong,Male,22/06/2005,3.88741E+12,2023
27,23000802,Dinh Quoc,Phat,Male,27/01/2005,1.78072E+12,2023
28,23000372,Ho Bich,Thuong,Female,4/12/2005,5.26604E+12,2023
29,23000427,Hua Chau,Huong,Female,14/09/2005,9.57918E+12,2023
30,23000513,Dang Tam,Ly,Female,3/3/2005,1.33854E+12,2023
31,23000764,Tran Bao,Linh,Female,24/07/2005,6.81189E+12,2023
32,23000556,Phan Hiep,Hoang,Male,16/09/2005,6.68524E+12,2023
33,23000474,Tri Phuong,Hoa,Female,28/03/2005,9.70028E+12,2023
34,23000634,Dang Hung,Phuc,Male,4/7/2005,9.4491E+12,2023
35,23000559,Vinh Truong,Minh,Male,5/1/2005,3.34349E+12,2023
36,23000809,Vu My,Quynh,Female,25/10/2005,7.34309E+12,2023
37,23000646,Ngo Phuong,Anh,Female,4/10/2005,9.25421E+12,2023
38,23000473,Kieu Tan,Huy,Male,4/1/2005,8.87964E+12,2023
39,23000618,Tran Duc,Long,Male,11/1/2005,5.58125E+12,2023
40,23000742,Lam Quyen,Giang,Female,10/2/2005,9.79049E+12,2023
41,23000731,Truong Phu,Long,Male,24/04/2005,5.08458E+12,2023
42,23000630,Trinh Tien,Dinh,Male,7/7/2005,7.54243E+12,2023
43,23000734,Trinh Dieu,Bao,Female,18/02/2005,4.95956E+12,2023
44,23000430,Thai Khai,Huy,Male,14/10/2005,6.93949E+12,2023
45,23000672,Kieu Thanh,Mong,Female,16/07/2005,7.20272E+12,2023
46,23000416,Trinh Chien,Minh,Male,12/1/2005,2.57644E+12,2023
47,23000610,Doan Van,Luat,Male,2/4/2005,9.85726E+11,2023
48,23000561,Lai Mai,Tam,Female,1/4/2005,2.33116E+12,2023
49,23000609,Giang Nhi,Tam,Female,14/02/2005,4.84884E+12,2023
50,23000363,Do Vuong,Phuc,Male,14/02/2005,4.8401E+12,2023
